ident,lat,lon
ZARES,S 22:45:58.82,W 47:57:16.62
GR246,S 22:51:49.68,W 47:48:23.86
GR247,S 22:56:23.75,W 47:41:15.63
GR248,S 23:08:28.41,W 47:22:19.00
EVRAL,S 23:13:01.37,W 47:15:09.23
GR249,S 23:04:19.18,W 47:04:53.22
GR251,S 22:59:09.69,W 46:58:49.05
GR252,S 22:52:05.12,W 46:50:30.56
GR272,S 22:48:46.55,W 46:43:56.99
GR273,S 22:47:04.32,W 46:37:42.79
GR274,S 22:46:42.63,W 46:31:13.44
GR276,S 22:47:42.54,W 46:24:48.76
GR277,S 22:50:24.48,W 46:18:20.32
SANPA,S 23:12:30.33,W 46:32:59.11
GR253,S 23:16:07.52,W 46:26:36.36
GR254,S 23:16:14.03,W 46:18:23.46
UTKUG,S 23:18:04.41,W 46:14:31.55
SBGR,S 23:25:57.15,W 46:28:31.62